eil101.tsp,2988.0,2886.0,726.0,705.0,693.0,
eil101.tsp,2928.0,2903.0,711.0,675.0,675.0,
eil101.tsp,3037.0,2924.0,726.0,698.0,698.0,
eil101.tsp,3044.0,2866.0,694.0,688.0,688.0,
eil101.tsp,3020.0,2911.0,720.0,702.0,702.0,
eil101.tsp,3179.0,3042.0,741.0,718.0,718.0,
eil101.tsp,3035.0,2784.0,712.0,700.0,700.0,
eil101.tsp,2973.0,2944.0,711.0,696.0,696.0,
eil101.tsp,3069.0,3030.0,680.0,679.0,679.0,
eil101.tsp,3100.0,2948.0,705.0,698.0,698.0,
eil101.tsp,2999.0,2933.0,723.0,704.0,702.0,
eil101.tsp,2967.0,2804.0,702.0,684.0,684.0,
eil101.tsp,3118.0,3025.0,705.0,693.0,688.0,
eil101.tsp,2997.0,2934.0,713.0,684.0,684.0,
eil101.tsp,3033.0,2982.0,746.0,707.0,694.0,
eil101.tsp,2960.0,2909.0,700.0,681.0,681.0,
eil101.tsp,3125.0,3031.0,706.0,682.0,682.0,
eil101.tsp,2997.0,2924.0,732.0,719.0,714.0,
eil101.tsp,3060.0,2899.0,713.0,674.0,674.0,
eil101.tsp,3078.0,3019.0,711.0,703.0,703.0,
eil101.tsp,3055.0,3015.0,742.0,707.0,692.0,
eil101.tsp,3078.0,2843.0,725.0,714.0,714.0,
eil101.tsp,2997.0,2953.0,724.0,690.0,668.0,
eil101.tsp,3110.0,3018.0,713.0,689.0,685.0,
eil101.tsp,3093.0,3006.0,702.0,685.0,685.0,
eil101.tsp,3143.0,3047.0,741.0,725.0,725.0,
eil101.tsp,3076.0,2966.0,698.0,685.0,679.0,
eil101.tsp,3115.0,3027.0,701.0,694.0,694.0,
eil101.tsp,3019.0,2998.0,726.0,701.0,695.0,
eil101.tsp,3014.0,2974.0,741.0,711.0,710.0,
eil51.tsp,1375.0,1324.0,455.0,455.0,455.0,
eil51.tsp,1358.0,1325.0,450.0,445.0,445.0,
eil51.tsp,1335.0,1257.0,459.0,459.0,459.0,
eil51.tsp,1315.0,1257.0,449.0,449.0,449.0,
eil51.tsp,1430.0,1377.0,445.0,445.0,445.0,
eil51.tsp,1452.0,1372.0,449.0,442.0,442.0,
eil51.tsp,1455.0,1332.0,462.0,458.0,458.0,
eil51.tsp,1394.0,1345.0,448.0,448.0,448.0,
eil51.tsp,1410.0,1170.0,454.0,449.0,449.0,
eil51.tsp,1384.0,1321.0,463.0,459.0,459.0,
eil51.tsp,1388.0,1326.0,443.0,443.0,442.0,
eil51.tsp,1390.0,1330.0,453.0,452.0,452.0,
eil51.tsp,1396.0,1396.0,453.0,444.0,444.0,
eil51.tsp,1435.0,1347.0,457.0,457.0,457.0,
eil51.tsp,1432.0,1385.0,454.0,454.0,454.0,
eil51.tsp,1411.0,1325.0,446.0,446.0,446.0,
eil51.tsp,1402.0,1251.0,475.0,473.0,468.0,
eil51.tsp,1461.0,1375.0,440.0,440.0,440.0,
eil51.tsp,1443.0,1372.0,474.0,474.0,474.0,
eil51.tsp,1382.0,1365.0,442.0,442.0,442.0,
eil51.tsp,1405.0,1405.0,444.0,444.0,444.0,
eil51.tsp,1423.0,1309.0,483.0,475.0,470.0,
eil51.tsp,1429.0,1332.0,461.0,453.0,452.0,
eil51.tsp,1407.0,1363.0,456.0,456.0,456.0,
eil51.tsp,1446.0,1367.0,453.0,453.0,453.0,
eil51.tsp,1417.0,1399.0,447.0,447.0,444.0,
eil51.tsp,1403.0,1369.0,455.0,448.0,448.0,
eil51.tsp,1336.0,1209.0,451.0,451.0,451.0,
eil51.tsp,1389.0,1374.0,467.0,458.0,458.0,
eil51.tsp,1419.0,1378.0,452.0,448.0,448.0,
eil76.tsp,2215.0,2202.0,583.0,583.0,583.0,
eil76.tsp,2262.0,2174.0,581.0,581.0,581.0,
eil76.tsp,2267.0,2184.0,589.0,589.0,589.0,
eil76.tsp,2205.0,2118.0,591.0,583.0,583.0,
eil76.tsp,2193.0,2153.0,589.0,585.0,585.0,
eil76.tsp,2181.0,2095.0,615.0,599.0,596.0,
eil76.tsp,2207.0,2152.0,599.0,593.0,593.0,
eil76.tsp,2303.0,2181.0,595.0,595.0,595.0,
eil76.tsp,2204.0,2118.0,572.0,569.0,569.0,
eil76.tsp,2187.0,2137.0,592.0,592.0,581.0,
eil76.tsp,2203.0,2158.0,581.0,579.0,579.0,
eil76.tsp,2157.0,2114.0,589.0,586.0,586.0,
eil76.tsp,2274.0,2127.0,585.0,585.0,585.0,
eil76.tsp,2275.0,2242.0,603.0,603.0,595.0,
eil76.tsp,2229.0,2131.0,604.0,604.0,604.0,
eil76.tsp,2267.0,2210.0,578.0,578.0,578.0,
eil76.tsp,2182.0,2126.0,594.0,594.0,585.0,
eil76.tsp,2154.0,2134.0,593.0,592.0,591.0,
eil76.tsp,2190.0,2168.0,606.0,604.0,604.0,
eil76.tsp,2235.0,2197.0,572.0,561.0,561.0,
eil76.tsp,2222.0,2158.0,590.0,590.0,590.0,
eil76.tsp,2184.0,2142.0,592.0,592.0,592.0,
eil76.tsp,2241.0,2139.0,588.0,583.0,583.0,
eil76.tsp,2220.0,2175.0,595.0,592.0,592.0,
eil76.tsp,2180.0,2106.0,610.0,586.0,585.0,
eil76.tsp,2205.0,2191.0,585.0,585.0,578.0,
eil76.tsp,2116.0,2083.0,597.0,593.0,593.0,
eil76.tsp,2206.0,2169.0,597.0,594.0,594.0,
eil76.tsp,2238.0,2113.0,585.0,585.0,585.0,
eil76.tsp,2127.0,2071.0,593.0,593.0,593.0,
