Benchmark,Best,Average,StdDev
a280_n1395_bounded-strongly-corr_,-809078,-3491119,1649291
a280_n1395_uncorr-similar-weights_,-526665,-1945131,755615
a280_n1395_uncorr_,-981262,-2086176,581601
a280_n2790_bounded-strongly-corr_,-1693494,-7026777,3304295
a280_n2790_uncorr-similar-weights_,-1016547,-3886605,1525437
a280_n2790_uncorr_,-1971138,-4311170,1207133
a280_n279_bounded-strongly-corr_,-150897,-752536,384575
a280_n279_uncorr-similar-weights_,-94892,-393597,157279
a280_n279_uncorr_,-161171,-368229,119849
a280_n837_bounded-strongly-corr_,-489177,-2140796,1022673
a280_n837_uncorr-similar-weights_,-326123,-1170662,446580
a280_n837_uncorr_,-574798,-1208822,352720
fnl4461_n22300_uncorr-similar-weights_,-14917557,-14917557,0
fnl4461_n44600_uncorr_,-42126120,-42126120,0
fnl4461_n4460_bounded-strongly-corr_,-1205969,-1205969,0
pla33810_n169045_uncorr-similar-weights_,-57810011,-57810011,0
pla33810_n338090_uncorr_,-164675346,-164675346,0
pla33810_n33809_bounded-strongly-corr_,-5251517,-5251517,0
