Benchmark,Best,Average,StdDev
a280_n1395_bounded-strongly-corr_,-1076452,-4637910,2190107
a280_n1395_uncorr-similar-weights_,-699702,-2583337,1003410
a280_n1395_uncorr_,-1303375,-2770642,772335
a280_n2790_bounded-strongly-corr_,-2250920,-9333017,4387922
a280_n2790_uncorr-similar-weights_,-1350235,-5161499,2025687
a280_n2790_uncorr_,-2617880,-5725308,1603002
a280_n279_bounded-strongly-corr_,-200766,-999707,510693
a280_n279_uncorr-similar-weights_,-126282,-522932,208849
a280_n279_uncorr_,-214193,-489237,159181
a280_n837_bounded-strongly-corr_,-650332,-2843479,1358018
a280_n837_uncorr-similar-weights_,-433394,-1554888,593029
a280_n837_uncorr_,-763506,-1605491,468415
fnl4461_n22300_uncorr-similar-weights_,-119343131,-119343131,0
fnl4461_n44600_uncorr_,-337010465,-337010465,0
fnl4461_n4460_bounded-strongly-corr_,-9676505,-9676505,0
pla33810_n169045_uncorr-similar-weights_,-663519020,-663519020,0
pla33810_n338090_uncorr_,-1890020163,-1890020163,0
pla33810_n33809_bounded-strongly-corr_,-60315602,-60315602,0
