Benchmark,Best,Average,StdDev
a280_n1395_bounded-strongly-corr_,-1729040,-18893949,33449097
a280_n1395_uncorr-similar-weights_,-786064,-2289357,716151
a280_n1395_uncorr_,-2748467,-6636307,3381295
a280_n2790_bounded-strongly-corr_,-8383759,-16489209,4610838
a280_n2790_uncorr-similar-weights_,-1672923,-5319664,1697113
a280_n2790_uncorr_,-5688113,-9649916,2089059
a280_n279_bounded-strongly-corr_,2958608,-499560,1204987
a280_n279_uncorr-similar-weights_,-196029,-426577,120859
a280_n279_uncorr_,229391,-397394,297497
a280_n837_bounded-strongly-corr_,-691446,-4611385,2869728
a280_n837_uncorr-similar-weights_,-727968,-1311162,349102
a280_n837_uncorr_,-2104209,-3906695,1376724
fnl4461_n22300_uncorr-similar-weights_,-23914531,-23914531,0
fnl4461_n44600_uncorr_,-85545385,-85545385,0
fnl4461_n4460_bounded-strongly-corr_,4399282,4399282,0
