Benchmark,Best,Average,StdDev
a280_n1395_bounded-strongly-corr_,718986,-7931564,4411338
a280_n1395_uncorr-similar-weights_,11933041,-2546699,5304104
a280_n1395_uncorr_,796846,-11343200,22046520
a280_n2790_bounded-strongly-corr_,130416115,-7423198,52220311
a280_n2790_uncorr-similar-weights_,842099360,77364229,254936361
a280_n2790_uncorr_,8632404,-9694869,18484215
a280_n279_bounded-strongly-corr_,401212,-1218795,802422
a280_n279_uncorr-similar-weights_,174595,-577658,409876
a280_n279_uncorr_,481822,-854477,1145998
a280_n837_bounded-strongly-corr_,2706048,-4362040,4501245
a280_n837_uncorr-similar-weights_,616333,-3312038,3100274
a280_n837_uncorr_,9596637,-615730,3831705
fnl4461_n22300_uncorr-similar-weights_,-526584753,-526584753,0
fnl4461_n44600_uncorr_,-450861832,-450861832,0
fnl4461_n4460_bounded-strongly-corr_,-574526,-574526,0
pla33810_n169045_uncorr-similar-weights_,-2147483648,-3237333259,0
pla33810_n338090_uncorr_,-2147483648,-2525028755,0
pla33810_n33809_bounded-strongly-corr_,29313688,29313688,0
