Benchmark,Best,Average,StdDev
a280_n1395_bounded-strongly-corr_,-5970936,-8494386,1008736
a280_n1395_uncorr-similar-weights_,-1017369,-3033156,1000424
a280_n1395_uncorr_,-2333613,-4734981,1082417
a280_n2790_bounded-strongly-corr_,5769784,-15215227,8804780
a280_n2790_uncorr-similar-weights_,-2052499,-6575934,2304957
a280_n2790_uncorr_,-6509500,-10550376,1651485
a280_n279_bounded-strongly-corr_,-202816,-1010691,494631
a280_n279_uncorr-similar-weights_,81715,-500541,252332
a280_n279_uncorr_,5773950,91874,1898606
a280_n837_bounded-strongly-corr_,15908828,-2733309,6885271
a280_n837_uncorr-similar-weights_,-546105,-1682423,576664
a280_n837_uncorr_,2562377,-2361509,1827165
fnl4461_n22300_uncorr-similar-weights_,-172717742,-172717742,0
fnl4461_n44600_uncorr_,-433831047,-433831047,0
fnl4461_n4460_bounded-strongly-corr_,-38651676,-38651676,0
