Instance,0,500,1000,1500,2000,2500,3000,3500,4000,4500,5000,5500,6000,6500,7000,7500,8000,8500,9000,9500,10000
eil51.tsp,1373,1330,453,444,444,444,444,444,444,444,444,444,444,444,444,444,444,444,444,444,444
,,,,,,,,,,,,,,,,,,,,,
eil76.tsp,2229,2209,600,600,600,600,600,600,600,600,600,600,600,600,600,599,599,599,599,599,599
eil76.tsp,2190,2134,592,592,592,592,592,592,592,592,592,592,592,592,592,592,592,592,592,592,592
eil76.tsp,2169,2154,593,583,583,583,583,583,583,583,583,583,583,583,583,583,583,571,571,571,571
eil76.tsp,2269,2232,595,583,583,583,583,583,583,583,583,583,583,583,583,583,583,583,583,583,583
eil76.tsp,2247,2175,593,593,593,593,593,593,593,593,593,593,593,593,593,593,593,593,584,584,584
eil76.tsp,2224,2165,602,591,591,591,591,591,591,591,591,591,591,591,591,591,591,591,591,591,591
eil76.tsp,2278,2260,591,588,588,588,588,588,588,588,588,588,588,588,588,588,588,588,588,588,588
eil76.tsp,2182,2098,592,581,576,576,576,576,576,576,576,576,575,568,568,568,568,568,568,568,568
eil76.tsp,2281,2164,591,584,584,584,584,584,584,584,584,584,584,584,584,584,584,584,584,584,584
eil76.tsp,2261,2156,582,565,565,565,565,565,565,565,565,565,565,565,565,565,565,565,565,565,565
eil76.tsp,2249,2180,630,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600
eil76.tsp,2235,2154,604,590,582,582,582,582,582,582,582,582,582,582,582,582,582,582,582,582,582
eil76.tsp,2291,2123,622,622,619,619,619,619,619,619,619,619,619,619,619,619,619,619,619,612,612
eil76.tsp,2200,2140,588,579,579,579,579,579,579,579,579,579,579,579,579,579,579,579,579,579,579
eil76.tsp,2235,2164,580,578,578,578,578,578,578,578,578,578,578,578,578,578,578,578,578,578,578
eil76.tsp,2075,2050,604,602,601,599,599,599,599,599,599,599,599,599,599,599,599,599,599,599,599
eil76.tsp,2185,2164,569,564,564,564,564,564,564,564,564,564,564,564,564,564,564,564,564,564,564
eil76.tsp,2141,2140,584,582,582,582,582,582,582,582,582,582,582,582,582,582,582,582,582,582,582
eil76.tsp,2220,2128,587,574,574,574,574,574,574,574,574,574,574,574,574,574,574,574,574,574,574
eil76.tsp,2278,2221,623,608,592,592,591,591,591,591,591,591,591,591,591,591,591,591,591,591,591
eil76.tsp,2283,2187,577,563,563,563,563,563,563,563,563,563,563,563,563,563,563,563,563,563,563
eil76.tsp,2123,2107,601,601,601,598,598,598,598,598,598,598,598,598,598,598,598,598,598,598,598
eil76.tsp,2254,2254,582,561,561,561,561,561,561,561,561,561,561,561,561,561,561,561,561,561,561
eil76.tsp,2167,2100,591,588,584,584,584,584,584,584,584,584,584,584,584,584,584,584,584,584,584
eil76.tsp,2178,2174,589,589,581,581,581,581,581,581,581,581,581,581,581,581,581,581,581,581,581
eil76.tsp,2229,2270,592,592,592,592,592,592,592,592,592,592,592,592,592,592,592,592,592,592,592
eil76.tsp,2321,2248,615,603,603,603,603,603,598,598,598,598,598,598,598,598,598,598,598,598,598
eil76.tsp,2253,2040,604,602,602,602,602,602,602,602,602,602,602,602,602,602,602,602,602,586,586
eil76.tsp,2297,2236,593,589,589,589,589,589,579,579,579,579,579,579,579,579,579,579,579,579,579
eil76.tsp,2213,2189,599,568,568,568,568,568,568,568,568,568,568,568,568,568,568,568,568,568,568
,,,,,,,,,,,,,,,,,,,,,
kroA100.tsp,149181,149181,25512,21759,21759,21759,21759,21759,21759,21759,21759,21759,21759,21759,21759,21759,21759,21759,21759,21759,21759
kroA100.tsp,149138,142825,26348,22686,22540,22540,22540,22540,22540,22540,22540,22540,22540,22540,22540,22540,22540,22540,22540,22540,22540
kroA100.tsp,141246,136606,25593,22492,22459,22459,22459,22459,22459,22459,22459,22459,22459,22459,22459,22459,22459,22459,22459,22459,22459
kroA100.tsp,148129,147825,26987,23801,22960,22960,22960,22960,22960,22960,22960,22960,22960,22960,22960,22960,22960,22960,22960,22960,22960
kroA100.tsp,149461,145899,26445,24779,24124,24124,24124,24124,24124,24124,24124,24124,24124,24124,24124,24124,24124,24124,24124,24124,24124
kroA100.tsp,150270,143342,26038,22554,22554,22554,22554,22554,22554,22554,22554,22554,22554,22554,22554,22554,22554,22554,22554,22554,22554
kroA100.tsp,142301,137641,24652,22747,22543,22531,22531,22531,22531,22531,22531,22531,22531,22531,22531,22531,22531,22531,22531,22531,22531
kroA100.tsp,145969,140731,26436,23122,22785,22785,22785,22785,22785,22785,22785,22785,22785,22785,22785,22785,22785,22785,22785,22785,22785
kroA100.tsp,148873,145065,23640,21797,21678,21678,21678,21678,21678,21678,21678,21678,21678,21678,21678,21678,21678,21678,21678,21678,21678
kroA100.tsp,144777,149771,23770,23150,22962,22962,22962,22962,22962,22962,22962,22962,22962,22962,22962,22962,22962,22962,22962,22962,22962
kroA100.tsp,144105,143920,25412,23456,22713,22639,22639,22639,22639,22639,22639,22639,22639,22639,22639,22639,22639,22639,22639,22639,22639
kroA100.tsp,151819,150089,26431,23813,23548,23548,23548,23548,23548,23548,23548,23548,23548,23548,23548,23548,23548,23548,23548,23548,23548
kroA100.tsp,146509,140965,25335,22516,22510,22510,22510,22510,22510,22510,22510,22510,22510,22510,22510,22510,22510,22510,22510,22510,22510
kroA100.tsp,146481,147683,26200,23200,23054,23054,23054,23054,23054,23054,23054,23054,23054,23054,23054,23054,23054,23054,23054,23054,23054
kroA100.tsp,151694,142275,25878,23906,23906,23906,23906,23906,23906,23906,23906,23906,23906,23906,23906,23906,23906,23906,23906,23906,23906
kroA100.tsp,153616,146734,25134,23399,22558,22558,22558,22558,22558,22558,22558,22558,22558,22558,22558,22558,22558,22558,22558,22558,22558
kroA100.tsp,149841,143658,25662,23723,22798,22798,22798,22798,22798,22798,22798,22798,22798,22798,22798,22798,22798,22798,22798,22798,22798
kroA100.tsp,147287,137097,26013,23902,23702,23447,23447,23447,23447,23447,23447,23447,23447,23447,23447,23447,23447,23447,23447,23447,23447
kroA100.tsp,152827,142498,26555,23536,23236,23236,23236,23236,23236,23236,23236,23236,23236,23236,23236,23236,23236,23236,23236,23236,23236
kroA100.tsp,149307,148345,25288,22788,22592,22592,22592,22592,22592,22592,22592,22592,22592,22592,22592,22592,22592,22592,22592,22592,22592
kroA100.tsp,150717,149408,26261,22910,22910,22910,22910,22910,22910,22910,22910,22910,22910,22910,22910,22910,22910,22910,22910,22910,22910
kroA100.tsp,143761,143526,26408,23314,22531,22531,22531,22531,22531,22531,22531,22531,22531,22531,22531,22531,22531,22531,22531,22531,22531
kroA100.tsp,155494,148597,26984,22933,22464,22464,22464,22464,22464,22464,22464,22464,22464,22464,22464,22464,22464,22464,22464,22464,22464
kroA100.tsp,148258,145843,26217,24122,24040,24040,24040,24040,24040,24040,24040,24040,24040,24040,24040,24040,24040,24040,24040,24040,24040
kroA100.tsp,150944,149281,27703,23966,23565,23565,23565,23565,23565,23565,23565,23565,23565,23565,23565,23565,23565,23565,23565,23565,23565
kroA100.tsp,146303,144827,25372,23243,23243,23243,23243,23243,23243,23243,23243,23243,23243,23243,23243,23243,23243,23243,23243,23243,23243
kroA100.tsp,150934,147482,23290,22235,22235,22235,22235,22235,22235,22235,22235,22235,22235,22235,22235,22235,22235,22235,22235,22235,22235
